[00:35:16.5229906][INFO/main.cpp:104] Yim's Menu Initializing
[00:35:16.5237777][INFO/main.cpp:105] Git Info
	Branch:	master
	Hash:	b7b201728978b67204637fee7d83e08863984306
	Date:	Thu Jan 11 11:52:31 2024
[00:35:16.5243673][DEBUG/thread_pool.cpp:22] Resizing thread pool from 0 to 4
[00:35:16.5245860][INFO/main.cpp:108] Thread pool initialized.
[00:35:16.5296236][INFO/settings.cpp:76] Updating settings.
[00:35:16.5316036][INFO/main.cpp:111] Settings Loaded.
[00:35:16.5316103][DEBUG/thread_pool.cpp:96] Thread 8640 executing settings.cpp:12
[00:35:16.5343506][INFO/batch.hpp:106] Found 'ISA' GTA5.exe+0xF193
[00:35:16.5354190][INFO/batch.hpp:106] Found 'SR' GTA5.exe+0x16C993
[00:35:16.5365601][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x2C66D4
[00:35:16.5377308][INFO/batch.hpp:106] Found 'PF' GTA5.exe+0x73508C
[00:35:16.5381545][INFO/batch.hpp:106] Found 'GL' GTA5.exe+0x6D9020
[00:35:16.5394299][INFO/batch.hpp:106] Found 'SGL' GTA5.exe+0x6D9014
[00:35:16.5418207][INFO/batch.hpp:106] Found 'FV' GTA5.exe+0x161DBA0
[00:35:16.5475068][INFO/batch.hpp:106] Found 'NPM' GTA5.exe+0x10B1B94
[00:35:16.5507783][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0xA4B929
[00:35:16.5544738][INFO/batch.hpp:106] Found 'ST' GTA5.exe+0x1620B6F
[00:35:16.5545126][INFO/batch.hpp:106] Found 'S' GTA5.exe+0x138E3D9
[00:35:16.5547458][INFO/batch.hpp:106] Found 'NRF' GTA5.exe+0x1BB87
[00:35:16.5560089][INFO/batch.hpp:106] Found 'NH' GTA5.exe+0x1620C19
[00:35:16.5560424][INFO/batch.hpp:106] Found 'CGSHM' GTA5.exe+0x16254D9
[00:35:16.5560895][INFO/batch.hpp:106] Found 'SG' GTA5.exe+0x16204C0
[00:35:16.5601897][INFO/batch.hpp:106] Found 'TSE' GTA5.exe+0xD93FFC
[00:35:16.5626686][INFO/batch.hpp:106] Found 'GTS' GTA5.exe+0x1620688
[00:35:16.5642548][INFO/batch.hpp:106] Found 'OQ' GTA5.exe+0x5703BE
[00:35:16.5655465][INFO/batch.hpp:106] Found 'TK' GTA5.exe+0xA4FA1C
[00:35:16.5667447][INFO/batch.hpp:106] Found 'RBWD' GTA5.exe+0x10DD39D
[00:35:16.5676514][INFO/batch.hpp:106] Found 'RBB' GTA5.exe+0x6705A8
[00:35:16.5717600][INFO/batch.hpp:106] Found 'WBQ' GTA5.exe+0x1334130
[00:35:16.5728091][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x132C5EC
[00:35:16.5736638][INFO/batch.hpp:106] Found 'WBD' GTA5.exe+0x13E6874
