[19:10:24.8698567][INFO/main.cpp:65] Yim's Menu Initializing
[19:10:24.8703616][INFO/main.cpp:66] Git Info
	Branch:	master
	Hash:	0de9182735fd952febe5fb9bd9f447502df64764
	Date:	Mon Oct 23 23:33:01 2023
[19:10:24.8703943][DEBUG/thread_pool.cpp:21] Resizing thread pool from 0 to 4
[19:10:24.8709896][INFO/main.cpp:69] Thread pool initialized.
[19:10:24.8786614][INFO/main.cpp:72] Settings Loaded.
[19:10:24.8786702][DEBUG/thread_pool.cpp:95] Thread 15928 executing settings.cpp:12
[19:10:24.8812146][INFO/batch.hpp:106] Found 'ISA' GTA5.exe+0xEF1F
[19:10:24.8818289][INFO/batch.hpp:106] Found 'SR' GTA5.exe+0x16A29B
[19:10:24.8828137][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x2C2030
[19:10:24.8855157][INFO/batch.hpp:106] Found 'PF' GTA5.exe+0x72EF68
[19:10:24.8900488][INFO/batch.hpp:106] Found 'FV' GTA5.exe+0x160C094
[19:10:24.8948989][INFO/batch.hpp:106] Found 'NPM' GTA5.exe+0x10A5374
[19:10:24.8977851][INFO/batch.hpp:106] Found 'ST' GTA5.exe+0x160F06B
[19:10:24.8998779][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0xA44F75
[19:10:24.9017347][INFO/batch.hpp:106] Found 'S' GTA5.exe+0x137E421
[19:10:24.9022498][INFO/batch.hpp:106] Found 'NRF' GTA5.exe+0x11A51D
[19:10:24.9051602][INFO/batch.hpp:106] Found 'CGSHM' GTA5.exe+0x1613A29
[19:10:24.9054453][INFO/batch.hpp:106] Found 'NH' GTA5.exe+0x160F115
[19:10:24.9062892][INFO/batch.hpp:106] Found 'SG' GTA5.exe+0x160E9BC
[19:10:24.9098001][INFO/batch.hpp:106] Found 'GTS' GTA5.exe+0x160EB84
[19:10:24.9124428][INFO/batch.hpp:106] Found 'TK' GTA5.exe+0xA49074
[19:10:24.9128380][INFO/batch.hpp:106] Found 'TSE' GTA5.exe+0xD8BC94
[19:10:24.9185416][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x131C51C
[19:10:24.9216903][INFO/batch.hpp:106] Found 'RBA' GTA5.exe+0x131C1F8
[19:10:24.9217723][INFO/batch.hpp:106] Found 'RBWD' GTA5.exe+0x10CDFDD
[19:10:24.9235090][INFO/batch.hpp:106] Found 'WMSB' GTA5.exe+0xCF729F
[19:10:24.9255001][INFO/batch.hpp:106] Found 'WBQ' GTA5.exe+0x1323FF8
[19:10:24.9260793][INFO/batch.hpp:106] Found 'SEA' GTA5.exe+0x16C9CDD
[19:10:24.9261734][INFO/batch.hpp:106] Found 'WBD' GTA5.exe+0x115A05C
[19:10:24.9287917][INFO/batch.hpp:106] Found 'RC' GTA5.exe+0x14536E4
[19:10:24.9314377][INFO/batch.hpp:106] Found 'WPGSDN' GTA5.exe+0x10FE954
[19:10:24.9359878][INFO/batch.hpp:106] Found 'WBI64' GTA5.exe+0x11AD0C9
[19:10:24.9399759][INFO/batch.hpp:106] Found 'PTH' GTA5.exe+0x16134E5
[19:10:24.9440202][INFO/batch.hpp:106] Found 'GSH' GTA5.exe+0x161498C
[19:10:24.9461089][INFO/batch.hpp:106] Found 'CNOM' GTA5.exe+0xB22554
[19:10:24.9481956][INFO/batch.hpp:106] Found 'NPMI' GTA5.exe+0x1109407
[19:10:24.9484524][INFO/batch.hpp:106] Found 'WBI32' GTA5.exe+0x11ABF8B
