[22:12:39.6525272][INFO/main.cpp:65] Yim's Menu Initializing
[22:12:39.6528993][INFO/main.cpp:66] Git Info
	Branch:	master
	Hash:	0de9182735fd952febe5fb9bd9f447502df64764
	Date:	Mon Oct 23 23:33:01 2023
[22:12:39.6529318][DEBUG/thread_pool.cpp:21] Resizing thread pool from 0 to 4
[22:12:39.6534496][INFO/main.cpp:69] Thread pool initialized.
[22:12:39.6581806][INFO/main.cpp:72] Settings Loaded.
[22:12:39.6581854][DEBUG/thread_pool.cpp:95] Thread 16648 executing settings.cpp:12
[22:12:39.6605126][INFO/batch.hpp:106] Found 'ISA' GTA5.exe+0xF193
[22:12:39.6621237][INFO/batch.hpp:106] Found 'SR' GTA5.exe+0x16C993
[22:12:39.6628266][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x2C66D4
[22:12:39.6646807][INFO/batch.hpp:106] Found 'PF' GTA5.exe+0x73508C
[22:12:39.6691441][INFO/batch.hpp:106] Found 'FV' GTA5.exe+0x161DBA0
[22:12:39.6764782][INFO/batch.hpp:106] Found 'NPM' GTA5.exe+0x10B1B94
[22:12:39.6770136][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0xA4B929
[22:12:39.6772075][INFO/batch.hpp:106] Found 'S' GTA5.exe+0x138E3D9
[22:12:39.6772585][INFO/batch.hpp:106] Found 'NRF' GTA5.exe+0x1BB87
[22:12:39.6802714][INFO/batch.hpp:106] Found 'ST' GTA5.exe+0x1620B6F
[22:12:39.6812241][INFO/batch.hpp:106] Found 'CGSHM' GTA5.exe+0x16254D9
[22:12:39.6818692][INFO/batch.hpp:106] Found 'SG' GTA5.exe+0x16204C0
[22:12:39.6854180][INFO/batch.hpp:106] Found 'GTS' GTA5.exe+0x1620688
[22:12:39.6868322][INFO/batch.hpp:106] Found 'TK' GTA5.exe+0xA4FA1C
[22:12:39.6891549][INFO/batch.hpp:106] Found 'NH' GTA5.exe+0x1620C19
[22:12:39.6919479][INFO/batch.hpp:106] Found 'RBWD' GTA5.exe+0x10DD39D
[22:12:39.6966890][INFO/batch.hpp:106] Found 'WMSB' GTA5.exe+0xCFECD3
[22:12:39.6976632][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x132C5EC
[22:12:39.6979342][INFO/batch.hpp:106] Found 'RBA' GTA5.exe+0x132C2C8
[22:12:39.7012395][INFO/batch.hpp:106] Found 'WBD' GTA5.exe+0x13E6874
[22:12:39.7019868][INFO/batch.hpp:106] Found 'SEA' GTA5.exe+0x16DAE99
[22:12:39.7021436][INFO/batch.hpp:106] Found 'WBQ' GTA5.exe+0x1334130
[22:12:39.7108532][INFO/batch.hpp:106] Found 'RC' GTA5.exe+0x146419C
[22:12:39.7136094][INFO/batch.hpp:106] Found 'WBI64' GTA5.exe+0x1134B35
[22:12:39.7169881][WARN/batch.hpp:113] Failed to find 'TSE'.
[22:12:39.7187563][INFO/batch.hpp:106] Found 'WPGSDN' GTA5.exe+0x1184050
[22:12:39.7253344][INFO/batch.hpp:106] Found 'PTH' GTA5.exe+0x1624F95
[22:12:39.7278836][INFO/batch.hpp:106] Found 'WBB' GTA5.exe+0x11334F8
[22:12:39.7296691][INFO/batch.hpp:106] Found 'WBI32' GTA5.exe+0x11339F7
[22:12:39.7303066][INFO/batch.hpp:106] Found 'CNOM' GTA5.exe+0xB299F0
[22:12:39.7317142][INFO/batch.hpp:106] Found 'GSH' GTA5.exe+0x162643C
[22:12:39.7325225][WARN/batch.hpp:113] Failed to find 'RBB'.
[22:12:39.7338832][INFO/batch.hpp:106] Found 'NPMI' GTA5.exe+0x118EE4F
[22:12:39.7371519][INFO/batch.hpp:106] Found 'GSCFWC' GTA5.exe+0xA4AA9C
[22:12:39.7397026][INFO/batch.hpp:106] Found 'GPR' GTA5.exe+0x114F69C
[22:12:39.7410266][INFO/batch.hpp:106] Found 'WBA' GTA5.exe+0x16C169A
[22:12:39.7477538][INFO/batch.hpp:106] Found 'REH' GTA5.exe+0x16D720C
[22:12:39.7482343][INFO/batch.hpp:106] Found 'GNED' GTA5.exe+0x1A30070
[22:12:39.7488491][INFO/batch.hpp:106] Found 'RNM' GTA5.exe+0x13FCF95
[22:12:39.7518332][INFO/batch.hpp:106] Found 'API' GTA5.exe+0x16DD5B8
[22:12:39.7524230][INFO/batch.hpp:106] Found 'RCS/GSTFT/GNOFP/GNO/GSTI' GTA5.exe+0x119A67C
[22:12:39.7525425][INFO/batch.hpp:106] Found 'MHT' GTA5.exe+0xB4CE
[22:12:39.7552755][INFO/batch.hpp:106] Found 'NPMS' GTA5.exe+0x11C3AD2
[22:12:39.7567302][INFO/batch.hpp:106] Found 'CAD' GTA5.exe+0x1199F7E
[22:12:39.7611723][INFO/batch.hpp:106] Found 'GGCC' GTA5.exe+0xA7FCDA
[22:12:39.7617416][INFO/batch.hpp:106] Found 'RCC' GTA5.exe+0x11996E0
[22:12:39.7634021][INFO/batch.hpp:106] Found 'WPGDN' GTA5.exe+0x1184B98
[22:12:39.7634703][INFO/batch.hpp:106] Found 'GLT' GTA5.exe+0xDB678F
[22:12:39.7682540][INFO/batch.hpp:106] Found 'FR' GTA5.exe+0xCEAB78
